temperaturaArma,anguloArma,atirou
0.0,2.65,0
1.02,0.69,1
0.92,6.94,0
0.82,1.68,0
0.0,13.05,0
1.04,0.19,1
0.94,9.01,0
0.84,0.07,0
0.74,1.1,0
0.0,8.09,0
1.06,0.38,1
0.96,8.85,0
0.86,0.45,0
0.76,0.52,0
1.08,1.05,1
0.98,6.76,0
0.88,5.51,0
0.78,0.17,0
1.07,0.7,1
0.97,10.92,0
0.87,0.15,0
0.77,0.1,0
1.07,0.17,1
0.97,9.14,0
0.87,1.62,0
0.67,12.05,0
0.57,2.22,0
0.47,1.03,0
0.37,1.15,0
0.27,1.3,0
0.17,1.45,0
0.07,1.59,0
1.11,1.72,1
1.01,3.45,0
0.91,3.45,0
0.81,1.72,0
0.71,0.03,0
0.61,0.05,0
0.51,1.69,0
0.41,3.45,0
0.31,3.47,0
0.21,1.71,0
0.11,0.08,0
0.01,0.13,0
1.19,1.64,1
1.09,5.13,0
0.99,4.17,0
0.89,1.93,0
0.79,1.29,0
0.69,0.29,0
0.59,1.43,0
0.49,3.66,0
0.39,4.81,0
0.29,3.0,0
0.19,2.54,0
0.09,1.56,0
1.45,1.99,1
1.35,6.93,0
1.25,5.62,0
1.15,3.88,0
1.05,4.23,0
0.95,4.69,0
0.85,5.3,0
0.75,6.13,0
0.65,7.25,0
0.55,8.79,0
0.45,10.86,0
0.35,9.07,0
0.25,7.92,0
0.15,6.77,0
0.05,5.76,0
0.0,4.56,0
0.0,3.16,0
0.0,2.03,0
1.5,1.12,1
1.4,0.68,0
1.3,0.21,0
1.2,0.15,0
1.1,0.09,0
1.0,0.04,0
0.9,0.01,0
0.8,0.06,0
0.7,0.11,0
0.6,3.11,0
0.5,4.33,0
0.4,0.91,0
0.3,2.92,0
0.2,4.5,0
0.1,1.57,0
1.5,1.26,1
1.4,0.75,0
1.3,3.02,0
1.2,7.75,0
1.1,7.32,0
1.0,12.36,0
0.9,12.0,0
0.8,9.94,0
0.7,7.32,0
0.6,4.98,0
0.5,3.16,0
0.4,1.79,0
0.3,0.74,0
0.2,0.11,0
0.1,0.06,0
1.5,0.02,1
1.4,0.11,0
1.3,0.13,0
1.2,0.18,0
1.1,0.47,0
1.0,4.43,0
0.9,4.0,0
0.8,0.35,0
0.7,3.04,0
0.6,3.72,0
0.5,0.6,0
0.4,3.23,0
0.3,3.73,0
0.2,0.0,0
0.1,4.63,0
0.0,5.11,0
1.5,1.2,1
1.4,1.63,0
1.3,1.54,0
1.2,0.27,0
1.1,3.69,0
1.0,5.4,0
0.9,2.29,0
0.8,1.68,0
0.7,0.02,0
0.6,0.35,0
0.5,2.5,0
0.4,4.33,0
0.3,3.69,0
0.2,2.17,0
0.1,0.34,0
1.5,0.33,1
1.4,10.45,0
1.3,0.67,0
1.2,18.82,0
1.1,0.84,0
1.0,0.39,0
0.9,0.48,0
0.8,0.57,0
0.7,0.66,0
0.6,0.74,0
0.5,0.83,0
0.4,0.91,0
0.3,0.75,0
0.2,0.6,0
0.1,0.48,0
1.25,0.37,1
1.15,0.64,0
1.05,0.47,0
0.95,0.05,0
0.85,0.46,0
0.75,0.39,0
0.65,0.05,0
0.55,0.4,0
0.45,0.3,0
0.35,0.18,0
0.25,0.55,0
0.15,0.43,0
0.05,0.08,0
1.27,0.51,1
1.17,0.57,0
1.07,0.22,0
0.97,0.1,0
0.87,0.04,0
0.77,0.63,0
0.67,1.25,0
0.57,1.47,0
0.47,1.23,0
0.37,0.69,0
0.27,0.3,0
0.17,0.45,0
0.07,1.85,0
0.0,3.64,0
0.0,5.23,0
0.0,5.75,0
0.0,5.33,0
0.0,4.9,0
0.0,5.22,0
0.0,6.08,0
0.0,5.99,0
0.0,4.76,0
0.0,4.46,0
0.0,4.5,0
0.0,3.87,0
0.0,4.2,0
0.0,2.33,0
0.0,2.93,0
0.0,5.2,0
0.0,2.63,0
1.27,1.83,1
1.17,2.02,0
1.07,1.49,0
0.97,5.46,0
0.87,3.11,0
0.77,2.38,0
0.67,2.38,0
0.57,2.38,0
0.47,2.37,0
0.37,2.37,0
0.27,2.37,0
0.17,2.37,0
0.07,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.36,0
0.0,2.37,0
0.0,2.37,0
0.0,2.23,0
0.0,2.09,0
1.13,1.94,1
1.03,3.74,0
0.93,1.2,0
0.83,1.35,0
0.73,1.22,0
0.63,1.09,0
0.53,0.97,0
0.43,0.86,0
0.33,0.75,0
0.23,0.65,0
0.13,0.56,0
0.03,0.48,0
1.09,0.4,1
0.99,0.74,0
0.89,0.61,0
0.79,0.09,0
0.69,0.36,0
0.59,0.32,0
0.49,0.12,0
0.39,0.5,0
0.29,0.41,0
0.19,0.09,0
0.09,0.51,0
1.08,0.45,1
0.98,0.01,0
0.88,0.41,0
0.78,0.4,0
0.68,0.03,0
0.58,0.42,0
0.48,0.37,0
0.38,0.12,0
0.28,0.58,0
0.18,0.61,0
0.08,0.22,0
1.11,0.14,1
1.01,0.34,0
0.91,0.97,0
0.81,1.2,0
0.71,0.92,0
0.61,0.52,0
0.51,0.54,0
0.41,1.12,0
0.31,1.84,0
0.21,2.18,0
0.11,2.0,0
0.01,1.7,0
1.21,1.82,1
1.11,5.21,0
1.01,4.42,0
0.91,3.55,0
0.81,3.81,0
0.71,4.05,0
0.61,4.25,0
0.51,4.39,0
0.41,4.46,0
0.31,4.46,0
0.21,4.38,0
0.11,4.24,0
0.01,4.03,0
0.0,3.78,0
0.0,3.56,0
0.0,3.49,0
0.0,3.44,0
0.0,3.39,0
0.0,3.34,0
0.0,3.29,0
0.0,3.26,0
0.0,3.23,0
0.0,3.2,0
0.0,3.17,0
0.0,3.15,0
0.0,3.12,0
0.0,3.1,0
0.0,3.08,0
0.0,3.07,0
0.0,3.05,0
0.0,3.03,0
0.0,3.02,0
0.0,3.01,0
0.0,3.0,0
0.0,2.99,0
0.0,2.98,0
0.0,2.97,0
0.0,2.97,0
0.0,2.96,0
0.0,2.96,0
0.0,2.95,0
0.0,2.95,0
0.0,2.95,0
0.0,2.95,0
0.0,2.95,0
0.0,2.95,0
0.0,2.95,0
0.0,2.96,0
0.0,2.96,0
0.0,2.96,0
0.0,2.97,0
0.0,2.98,0
0.0,2.98,0
0.0,2.99,0
0.0,3.0,0
0.0,3.01,0
0.0,3.02,0
0.0,3.03,0
0.0,3.04,0
