time,distancia,velocidade,direcao,minhaEnergia,meuHeading
2889,471.1334763493568,8.0,162.2675949045291,43.79999999999991,217.29402316263685
2907,439.271134218189,8.0,234.26759490452918,41.999999999999886,217.29402316263685
2908,445.2292001579006,8.0,238.2675949045292,41.899999999999885,217.29402316263685
2925,524.2931656684401,-2.0,325.26759490452906,40.19999999999986,217.29402316263685
2945,501.71221950901815,8.0,20.267594904529002,38.19999999999983,217.29402316263685
2963,610.529360013603,8.0,308.26759490452895,36.39999999999981,217.29402316263685
2982,620.9649928466023,-8.0,248.26759490452912,34.49999999999978,217.29402316263685
2983,616.2000887321061,-8.0,252.26759490452912,34.39999999999978,217.29402316263685
3001,497.4246865795745,-8.0,324.26759490452923,32.59999999999975,217.29402316263685
3019,403.23623054484955,-8.0,36.26759490452928,30.799999999999727,217.29402316263685
3037,349.78639434859497,8.0,134.26759490452912,29.49999999999971,217.29402316263685
3057,244.05676601896133,8.0,54.267594904529005,29.49999999999971,217.29402316263685
3076,356.1144161019389,8.0,338.267594904529,29.49999999999971,217.29402316263685
3095,496.62076086418494,8.0,14.267594904529156,29.49999999999971,217.29402316263685
3113,564.9095554207893,8.0,86.2675949045292,29.49999999999971,217.29402316263685
3114,570.6242799209798,8.0,90.2675949045292,29.49999999999971,217.29402316263685
3133,465.6828379575569,8.0,166.26759490452912,29.49999999999971,217.29402316263685
3151,354.7511361763554,8.0,220.26759490452915,29.49999999999971,217.29402316263685
3170,193.8142105935526,8.0,144.26759490452903,29.49999999999971,217.29402316263685
3190,269.49929229065447,8.0,64.26759490452893,29.49999999999971,217.29402316263685
3209,347.20918594721377,8.0,108.26759490452916,29.49999999999971,217.29402316263685
3210,344.4344344394171,8.0,112.26759490452918,29.49999999999971,217.29402316263685
3228,422.40697440800295,8.0,184.26759490452926,29.49999999999971,217.29402316263685
3248,256.1599675468856,8.0,264.2675949045292,29.49999999999971,217.29402316263685
3249,246.58489438748794,8.0,268.26759490452923,29.49999999999971,217.29402316263685
3265,197.55016660574444,8.0,306.26759490452923,29.49999999999971,217.29402316263685
3281,52.875726459972135,8.0,242.26759490452915,29.49999999999971,217.29402316263685
3282,45.487031105790315,8.0,238.26759490452912,28.899999999999707,217.29402316263685
3283,46.485278724162455,0.0,234.26759490452915,28.299999999999706,217.29402316263685
3284,49.421743047632454,-1.0,234.26759490452915,28.299999999999706,217.29402316263685
3299,226.98162788796526,-8.0,153.26759490452906,24.299999999999706,217.29402316263685
3300,232.9343222958271,-8.0,149.26759490452906,24.299999999999706,217.29402316263685
3316,261.1678059336505,-8.0,190.26759490452926,24.299999999999706,217.29402316263685
3317,265.75833142566734,-8.0,194.26759490452923,24.299999999999706,217.29402316263685
3335,447.1840850428586,-8.0,266.26759490452935,20.299999999999706,217.29402316263685
3336,452.7026548355675,-8.0,270.26759490452935,20.299999999999706,217.29402316263685
3355,354.32364387705945,3.0,11.01759490452924,20.299999999999706,217.29402316263685
3373,583.1306735268124,8.0,4.267594904529259,20.299999999999706,217.29402316263685
3391,557.2732355754241,8.0,292.2675949045292,20.299999999999706,217.29402316263685
3392,555.4118364381251,8.0,288.2675949045292,20.299999999999706,217.29402316263685
3409,578.2332274965921,8.0,236.26759490452923,20.299999999999706,217.29402316263685
3427,514.9646704489475,8.0,308.26759490452935,20.299999999999706,217.29402316263685
3445,709.2977311936904,8.0,20.26759490452943,20.299999999999706,217.29402316263685
3465,703.9170669182687,8.0,100.26759490452935,20.299999999999706,217.29402316263685
3483,729.5394593779852,8.0,106.26759490452929,20.299999999999706,217.29402316263685
3484,732.732385188367,8.0,102.26759490452928,20.299999999999706,217.29402316263685
3503,740.5219616897348,8.0,26.267594904529215,20.299999999999706,217.29402316263685
3520,943.7930629408864,8.0,318.2675949045293,20.299999999999706,217.29402316263685
3521,951.1043741796964,8.0,322.2675949045293,20.299999999999706,217.29402316263685
3539,869.2856841665463,-8.0,61.267594904529325,20.299999999999706,217.29402316263685
3557,952.7185463708478,-8.0,133.26759490452943,20.299999999999706,217.29402316263685
3576,811.3987009594542,8.0,220.26759490452932,20.299999999999706,217.29402316263685
3594,752.3390223579503,8.0,148.26759490452923,20.299999999999706,217.29402316263685
3613,642.6405087649396,8.0,72.26759490452913,20.299999999999706,217.29402316263685
3632,819.8428369265283,8.0,100.26759490452935,20.299999999999706,217.29402316263685
3651,665.4536010283359,8.0,176.26759490452943,20.299999999999706,217.29402316263685
3669,629.3384282017921,8.0,248.26759490452932,20.299999999999706,217.29402316263685
3687,517.5192346098472,8.0,318.2675949045294,20.299999999999706,217.29402316263685
3705,600.9607435024076,8.0,246.26759490452932,16.299999999999706,217.29402316263685
3723,411.4641698822347,8.0,174.2675949045292,16.299999999999706,217.29402316263685
3742,345.91842263323855,8.0,178.26759490452937,16.299999999999706,217.29402316263685
3759,181.97578195468046,8.0,246.26759490452946,16.299999999999706,217.29402316263685
3760,179.70338324347117,8.0,250.26759490452946,16.299999999999706,217.29402316263685
3777,302.06754863969746,8.0,318.2675949045294,16.299999999999706,217.29402316263685
3796,398.5598277357702,8.0,34.26759490452946,16.299999999999706,217.29402316263685
3815,548.3188171808737,8.0,348.2675949045294,16.299999999999706,217.29402316263685
3833,616.8241173804898,8.0,276.26759490452935,16.299999999999706,217.29402316263685
3851,659.8810193143721,8.0,252.26759490452943,16.299999999999706,217.29402316263685
3869,742.776794644287,-1.0,330.2675949045295,16.299999999999706,217.29402316263685
3870,739.4636286180298,-2.0,339.5175949045295,16.299999999999706,217.29402316263685
3888,717.3434491178651,8.0,91.76759490452937,16.299999999999706,217.29402316263685
3907,561.3728406263535,8.0,110.26759490452937,16.299999999999706,217.29402316263685
3926,596.0830482202782,8.0,34.26759490452932,16.299999999999706,217.29402316263685
3945,682.5181057625621,8.0,318.2675949045294,16.299999999999706,217.29402316263685
3963,870.4966659543362,8.0,30.267594904529464,16.299999999999706,217.29402316263685
3982,840.8328169508354,8.0,106.26759490452953,16.299999999999706,217.29402316263685
3983,834.5279297708465,8.0,110.26759490452955,16.299999999999706,217.29402316263685
4001,795.7666115973822,8.0,182.26759490452946,16.299999999999706,217.29402316263685
4019,601.9455558625207,8.0,204.26759490452946,16.299999999999706,217.29402316263685
4038,536.437550580514,8.0,128.26759490452935,16.299999999999706,217.29402316263685
4057,480.2257648682135,8.0,52.26759490452924,16.299999999999706,217.29402316263685
4058,485.0553861313642,8.0,48.267594904529396,12.299999999999706,217.29402316263685
4076,641.7157205207523,8.0,120.26759490452947,12.299999999999706,217.29402316263685
4096,454.7004263264114,8.0,200.26759490452957,12.299999999999706,217.29402316263685
4113,427.99613556444024,8.0,264.2675949045295,12.299999999999706,217.29402316263685
4114,423.9751326677637,8.0,268.2675949045295,12.299999999999706,217.29402316263685
4115,419.00104376319297,8.0,272.2675949045295,12.299999999999706,217.29402316263685
4131,335.2996698433233,8.0,302.2675949045295,8.299999999999706,217.29402316263685
4149,387.24289162312965,8.0,230.26759490452943,8.299999999999706,217.29402316263685
4166,212.18346822782712,8.0,162.26759490452932,8.299999999999706,217.29402316263685
4167,201.22465109890592,8.0,158.26759490452932,8.299999999999706,217.29402316263685
4186,118.33571283953947,8.0,194.26759490452957,4.299999999999706,217.29402316263685
4187,113.08045795091299,8.0,198.26759490452955,4.299999999999706,217.29402316263685
4199,82.09037624694228,8.0,246.2675949045296,4.299999999999706,217.29402316263685
4200,94.7687841101475,8.0,250.2675949045296,4.299999999999706,217.29402316263685
4219,217.9024042474786,8.0,326.2675949045296,4.299999999999706,217.29402316263685
4220,221.51512549280525,8.0,330.2675949045295,4.299999999999706,217.29402316263685
4239,277.0412605808626,8.0,46.267594904529616,4.299999999999706,217.29402316263685
4258,391.57707905644145,8.0,336.2675949045295,4.299999999999706,217.29402316263685
4259,403.1466722430884,8.0,332.2675949045295,4.299999999999706,217.29402316263685
4277,485.7723117116078,8.0,260.26759490452946,4.299999999999706,217.29402316263685
4294,540.3286507980528,8.0,264.26759490452963,4.299999999999706,217.29402316263685
4313,565.2753277049541,-8.0,7.267594904529652,4.299999999999706,217.29402316263685
4331,494.9828046513864,8.0,103.51759490452959,4.299999999999706,217.29402316263685
4350,346.9622276570981,8.0,102.26759490452957,4.299999999999706,217.29402316263685
4369,332.1848278890695,8.0,26.26759490452952,4.299999999999706,217.29402316263685
4370,341.62196378269067,8.0,22.267594904529524,4.299999999999706,217.29402316263685
4388,438.0632164432814,8.0,326.26759490452963,4.299999999999706,217.29402316263685
4407,608.218871308548,8.0,42.267594904529666,4.299999999999706,217.29402316263685
4426,546.0557003907177,8.0,118.26759490452974,4.299999999999706,217.29402316263685
4445,487.7537413571572,8.0,194.26759490452966,4.299999999999706,217.29402316263685
4463,299.92313084856465,8.0,192.26759490452963,4.299999999999706,217.29402316263685
4482,243.4798237575216,8.0,116.26759490452952,4.299999999999706,217.29402316263685
4483,244.9150980941634,8.0,112.26759490452952,4.299999999999706,217.29402316263685
4502,240.51259254470386,8.0,60.2675949045296,4.299999999999706,217.29402316263685
4503,247.52585772042633,8.0,64.26759490452962,4.299999999999706,217.29402316263685
4522,420.87745664691454,8.0,140.26759490452972,4.299999999999706,217.29402316263685
4523,419.5538720364656,8.0,144.26759490452972,4.299999999999706,217.29402316263685
4542,278.8799024569553,8.0,220.26759490452983,4.299999999999706,217.29402316263685
4560,215.0846572166831,8.0,292.26759490452974,4.299999999999706,217.29402316263685
4576,70.01699458201226,8.0,282.2675949045297,0.29999999999970584,217.29402316263685
4577,67.0526160558569,8.0,278.2675949045297,0.29999999999970584,217.29402316263685
4591,88.79268384783981,8.0,222.2675949045296,0.29999999999970584,217.29402316263685
4592,88.25129825651204,8.0,218.26759490452963,0.29999999999970584,217.29402316263685
4593,86.03175011370327,8.0,214.2675949045296,0.29999999999970584,217.29402316263685
4605,75.12578236792417,8.0,166.26759490452955,0.29999999999970584,217.29402316263685
4606,85.82101170125486,8.0,162.26759490452952,0.29999999999970584,217.29402316263685
4621,178.21903040523821,8.0,174.26759490452974,0.29999999999970584,217.29402316263685
